instrument_name,instrument_id,date
DLF,308,06-02-2020
HEROMOTOCO,253,07-02-2020
LUPIN,174,07-02-2020
BHARATFORG,354,10-02-2020
UPL,18,10-02-2020
ITC,216,11-02-2020
RECLTD,92,11-02-2020
MCDOWELL-N,164,12-02-2020
TATAMOTORS,44,12-02-2020
INFRATEL,225,13-02-2020
TORNTPOWER,29,13-02-2020
RELIANCE,90,14-02-2020
SBIN,80,14-02-2020
MUTHOOTFIN,146,17-02-2020
INDUSINDBK,226,18-02-2020
AUROPHARMA,379,19-02-2020
KOTAKBANK,187,19-02-2020
MFSL,160,20-02-2020
OIL,125,20-02-2020
AUROPHARMA,379,24-02-2020
INFRATEL,225,24-02-2020
TORNTPHARM,30,25-02-2020
TVSMOTOR,25,25-02-2020
CIPLA,329,26-02-2020
JINDALSTEL,209,26-02-2020
CONCOR,325,27-02-2020
RELIANCE,90,27-02-2020
BAJAJ-AUTO,375,28-02-2020
IBULHSGFIN,244,02-03-2020
INDUSINDBK,226,02-03-2020
IBULHSGFIN,244,03-03-2020
TATACHEM,49,04-03-2020
CESC,333,05-03-2020
TVSMOTOR,25,05-03-2020
IBULHSGFIN,244,06-03-2020
RBLBANK,94,06-03-2020
IBULHSGFIN,244,09-03-2020
IBULHSGFIN,244,11-03-2020
ICICIPRULI,240,11-03-2020
IBULHSGFIN,244,16-03-2020
BERGEPAINT,355,17-03-2020
ZEEL,2,17-03-2020
CENTURYTEX,334,18-03-2020
RBLBANK,94,18-03-2020
BANDHANBNK,365,19-03-2020
INDUSINDBK,226,19-03-2020
AUROPHARMA,379,20-03-2020
INDIGO,228,20-03-2020
AMARAJABAT,395,23-03-2020
AXISBANK,376,23-03-2020
BHARATFORG,354,24-03-2020
TATACONSUM,47,24-03-2020
PVR,101,25-03-2020
AMARAJABAT,395,26-03-2020
JUSTDIAL,197,26-03-2020
INDUSINDBK,226,27-03-2020
MINDTREE,155,27-03-2020
INDUSINDBK,226,30-03-2020
JUBLFOOD,199,30-03-2020
INDUSINDBK,226,31-03-2020
MINDTREE,155,31-03-2020
INDUSINDBK,226,01-04-2020
